Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure)
OptiMat,37R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,51.6370651725885,71.3767214312471,,,,,6.605,2.0,25.325,150.0,40.0,167.1065,164.403257276899,-65.76130291075961,,,-0.4,3.1,518.2483453335626,-447.3984883071042,27.46,27.88907598571429,2.229333333333333,-1.886142857142857,568162.0,5.75447218373013
OptiMat,38R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,52.8299375462749,72.1124008822064,,,,,6.815,2.0,25.335,150.0,40.0,172.48765,326.657275270003,32.66572752700031,1.365,,0.1,2.1,528.143831048251,-465.0363068565113,26.1,30.55,2.285,-1.65,2514.0,3.400365273349939
OptiMat,42R0300UD2,0/0/0/0,EP,UNK,Load,52.551600823122,72.1078169127419,,,,,3.73,2.0,24.7133333333333,145.0,35.0,92.1807333333333,216.965078024258,-216.965078024258,0.601673483410778,,-1.0,5.0,,,36.5440741029833,36.5011662296296,,,20937.0,4.320914453045575
OptiMat,43R0300UD2,0/0/0/0,EP,UNK,Load,50.8675038885926,72.2801124796882,,,,,3.802,2.0,24.83,145.0,35.0,94.32762,415.555922302165,-415.555922302165,1.1052,,-1.0,0.82,,,39.8,39.56,,,252.0,2.401400540781544
OptiMat,44R0300UD2,0/0/0/0,EP,UNK,Load,50.8175623622701,71.6865026447593,,,,,3.626,2.0,24.77,145.0,35.0,89.8,137.837325679762,-137.837325679762,0.3444,,-1.0,8.09,,-546.011786693782,40.019,39.887,,,19854604.0,7.29786122948452
OptiMat,49R0300UD2,0/0/0/0,EP,UNK,Load,53.5391305886842,72.7683516256616,,,,,3.75666666666667,2.0,25.4633333333333,145.0,35.0,95.6572555555556,-418.159602924934,-4181.59602924934,-1.66589245941743,,10.0,2.73,838.8357223759523,,38.52065274990039,34.2119257266087,2.26875160235764,,4.0,0.6020599913279624
OptiMat,4UDR0200UD2,0/0/0/0,EP,UNK,Load,,,,,,,3.88,2.0,25.88,140.0,30.0,100.4144,259.922879586992,-259.922879586992,0.72,,-1.0,2.6,798.3889271288604,-483.9444467696906,36.0,35.8,,-1.2773,7734.0,3.888404167737047
OptiMat,4UDR0300UD2,0/0/0/0,EP,UNK,Load,,,,,,,3.8,2.0,25.0,145.0,35.0,95.0,260.0,-260.0,0.69,,-1.0,2.6,826.1838127301472,-480.7584311661122,37.5,37.2,,-1.2876,11627.0,4.065467672465651
OptiMat,4UDR0400UD2,0/0/0/0,EP,UNK,Load,,,,,,,3.95,2.0,24.85,150.0,40.0,98.1575,259.786567506304,-259.786567506304,0.69,,-1.0,3.7,836.907996563507,-469.8765400092432,37.7,37.5,,-1.263533333333333,1811.0,3.257918450314059
OptiMat,56R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,52.1568062416468,71.6512809362398,,,,,6.75,2.0,25.27,150.0,40.0,170.5725,209.998680912808,-83.99947236512321,0.79,,-0.4,1.8,,,27.6,,,,62379.0,4.795038408286419
OptiMat,68R0300UD2,0/0/0/0,EP,UNK,Load,49.4487047395643,71.0654588008653,,,,,3.8,2.0,25.2833333333333,145.0,35.0,96.0766666666667,260.208860979079,-260.208860979079,0.714135234461644,,-1.0,2.0,,,36.9553614822822,36.4077097897218,,,35286.0,4.547602429785681
OptiMat,69R0300UD2,0/0/0/0,EP,UNK,Load,50.6488580659171,71.0868088496908,,,,,3.843,2.0,25.17,145.0,35.0,96.72831,335.675253708041,-335.675253708041,0.885779625,,-1.0,1.22,,,38.38,38.56,,,3228.0,3.508933526050033
OptiMat,73R0300UD2,0/0/0/0,EP,UNK,Load,53.6200980810871,72.3065214375119,,,,,3.655,2.0,25.245,145.0,35.0,92.06945,-473.121105860847,-4731.21105860847,,,10.0,4.2,1065.26317821911,-491.8229760786565,40.055,40.235,2.77,,8000.0,3.903089986991944
OptiMat,75R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,52.0618756380906,,,,,,6.53,2.0,25.2,150.0,40.0,164.556,249.945307372566,-624.863268431415,,,-2.5,1.53,595.725146587075,,24.21,,2.721557,,93144.0,4.969154884451621
OptiMat,80R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,51.7580017438909,71.2385830768816,,,,,6.64,2.0,25.33,150.0,40.0,168.1912,213.863745546735,-85.54549821869401,0.79,,-0.4,1.8,,,27.07,27.97,,,103657.0,5.015598635505834
OptiMat,86R0300UD2,0/0/0/0,EP,UNK,Load,51.1127043598097,71.785921760488,,,,,3.967,2.0,25.187,145.0,35.0,99.916829,-421.910907520894,-4219.10907520894,,,10.0,3.78,801.949071660096,,42.59,39.66,2.038,,15820.0,4.199206479161658
OptiMat,88R0400MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,54.1050823933501,72.9018655425451,,,,,6.4,2.0,25.07,150.0,40.0,160.448,238.083366573594,-595.208416433985,,,-2.5,1.53,,-432.134959071833,28.3,28.0,,,775565.0,5.889618201838019
OptiMat,99R0410MD2,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP,UNK,Load,54.622329345407,73.3451300606045,,,,,6.42333333333333,2.0,25.23,150.0,40.0,162.0607,124.996374815116,-124.996374815116,0.439827,,-1.0,2.0,486.7536871055396,-432.7605890278093,29.12,28.37,2.15332,-1.72254,288857.0,5.460682896456063
Upwind,AGR03,0/90/0/90,EP,UNK,UNK,,67.5,,,,,3.09,2.0,24.75,144.52,35.3325,76.4775,392.272236932431,-392.272236932431,,,-1.0,1.0,870.2021445529284,,36.1375,36.1375,,,1513.0,3.179838928023187
Upwind,AIR03,0/90/0/90,EP,UNK,UNK,,67.5,,,,,3.02,2.0,24.8,146.11,34.425,74.896,267.036957914976,-267.036957914976,,,-1.0,2.0,842.2648250141433,,35.9075,35.9075,,,792622.0,5.899066122434209
Upwind,ALR17,90/0/90/0/90/0,EP,UNK,UNK,,67.5,,,,,4.555,,20.11,145.19,35.0,91.60105,262.00573028366,-262.00573028366,,,-1.0,3.0,,,34.8825,34.8825,,,337759.0,5.528606930153761
Upwind,ANR03,90/0/90/0,EP,UNK,UNK,,67.5,,,,,3.17,1.0,24.83,145.09,34.8025,78.7111,381.140652334931,-381.140652334931,,,-1.0,1.0,,,36.249,36.249,,,24649.0,4.391799304818467
Upwind,AOR08,90/0/90/0,EP,UNK,UNK,,71.5,,,,,2.87,0.5,19.69,129.89,20.625,56.5103,424.701337632255,-424.701337632255,,,-1.0,1.0,967.6181778778664,,40.14375,,,,1933.0,3.286231854028553
Upwind,ARR07,90/0/90/0/90/0,EP,UNK,UNK,,71.5,,,,,4.12,,19.87,145.0,35.0,81.8644,-39.7095685059684,-397.095685059684,,,10.0,1.0,,-642.424189701723,38.75,38.75,,,35300.0,4.547774705387822
Upwind,ASR07,90/0/90/0/90/0,EP,UNK,UNK,,71.5,,,,,4.19,1.0,19.78,145.81,35.4275,82.8782,434.372368125756,-434.372368125756,,,-1.0,1.0,,,40.599,40.599,,,718.0,2.8561244442423
Upwind,AZI01,90/0/90/0,EP,UNK,UNK,,71.5,,,,,2.83,1.0,24.82,261.0,149.8,70.2406,427.103413125742,42.7103413125742,,,0.1,1.0,1007.799702970735,,39.787,39.787,,,12691.0,4.103495844109766
Upwind,BII01,90/0/90/0,EP,UNK,UNK,,,,,,,3.0,1.0,24.86,261.0,149.8,74.58,402.252614641995,40.22526146419951,,,0.1,1.0,,,38.4655,38.4655,,,22447.0,4.351158306564027
Upwind,BJR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.98,1.0,19.89,129.7,19.8775,59.2722,404.911577434278,40.49115774342781,,,0.1,3.0,86.65732960222816,-158.7263002697319,13.02391666666667,13.95542857142857,,,139126.0,5.143408298945073
Upwind,BKI01,90/0/90/0,EP,UNK,UNK,,,,,,,3.0,1.0,24.89,260.5,148.91,74.67,535.690370965582,53.5690370965582,,,0.1,1.0,,,37.597,37.597,,,5258.0,3.720820581770344
Upwind,BLR08,90/0/90/0,EP,UNK,UNK,,,,,,,2.97,1.0,20.21,130.2,20.2025,60.0237,-39.9842062385358,-399.842062385358,,,10.0,3.0,901.720940380734,-539.456074146953,37.9815,37.9425,,,70748.0,4.849714167146987
