Data source,Material_Code,Sequence,Resin Type,Waveform,Control,Fibre Volume Fraction,Fibre Weight Fraction,Percentage of Fibre in 0-deg Direction,Percentage of Fibre in 45-deg Direction,Percentage of Fibre in 90-deg Direction,Percentage of Fibre in Other Direction,Thickness,Tab Thickness,Width,Maximum Width,Minimum Width,Length,Gauge Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Static Maximum Tensile Stress,Static Maximum Compressive Stress,Static Elastic Modulus,Static Compressive Modulus,Static Maximum Tensile Strain,Static Maximum Compressive Strain,Cycles to Failure,log(Cycles to Failure)
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,18264,4.26159572601318
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,414,41.4000015258789,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,8358,3.92210245132446
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,2668144,6.42620944976807
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,2823516,6.45079040527344
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,241,24.1000003814697,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,3554421,6.55076885223389
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,594298,5.7740044593811
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,537593,5.73045349121094
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,252317,5.40194654464722
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,296456,5.47196006774902
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,275551,5.44020175933838
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,10,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,261531,5.41752338409424
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,5,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,379674,5.57941102981567
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,5,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,240098,5.38038873672485
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,5,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,458684,5.6615138053894
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,304764,5.48396348953247
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,227372,5.35673713684082
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,247249,5.39313459396362
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,20,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,404285,5.60668754577637
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,20,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,432281,5.63576602935791
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,20,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,731478,5.86420106887817
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,2,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,196929,5.29430961608887
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,310,31,,,0.100000001490116,30,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,59971,4.77794122695923
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,1.21000003814697,0.120999999344349,0.100000001490116,1,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,284133,5.45352172851563
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,,,0.100000001490116,1,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,213190,5.32876682281494
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,22,,,,,,,310,31,,,0.100000001490116,1,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,198210,5.29712533950806
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,207,20.7000007629395,,,0.100000001490116,25,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,8672644,6.93815135955811
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,207,20.7000007629395,,,0.100000001490116,25,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,9754976,6.98922634124756
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,207,20.7000007629395,,,0.100000001490116,25,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,11452158,7.05888748168945
SNL/MSU/DOE,MD-DD5P-UP2[0/±45/0]S,0/45/-45/0/0/-45/45/0,PE,UNK,UNK,37,,72,28,0,0,3.01999998092651,,8,,,,,,,172,17.2000007629395,,,0.100000001490116,60,752.734680175781,-613.422546386719,23.533332824707,25.5,2.82666659355164,,78244896,7.89345598220825
