Material_Code,Fiber Volume Fraction,Fiber Weight Fraction,Fiber Weight Fraction (0-deg),Fiber Weight Fraction (45-deg),Fiber Weight Fraction (90-deg),Fiber Weight Fraction (Other Dir.),Thickness,Tab Thickness,Width,Length,Load Length,Area,Maximum Stress,Minimum Stress,Maximum Strain,Minimum Strain,R-value,Frequency,Ultimate Tensile Stress,Ultimate Compressive Stress,Tensile Modulus,Compressive Modulus,Ultimate Tensile Strain,Ultimate Compressive Strain,Cycles to Failure,log10(Cycles to Failure),Data source,Sequence,Resin Type
122R0360UD3,56.59000000000001,74.36,,,,,6.0840000000000005,2.0,25.19633333333333,145.0,35.0,153.29454,44.148812625983155,4.414881262598316,0.33338836667000005,,0.1,3.4120000000000004,72.27485799192083,-154.4203116811926,13.803999999999998,13.657999999999998,0.7997,-2.4816,262008.0,4.5824566342375785,OptiMat,0/0/0/0/0/0/0,EP
126S0300MD2,52.83,71.8,,,,,6.459999999999999,2.0,25.201999999999998,610.0,500.0,162.80344,205.52573915066577,20.55257391506658,1.415,,0.1,5.3,619.9563417365913,,28.688560000000003,,2.435,,879877.4,5.399703134803461,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
127S0300MD2,55.84000000000001,,,,,,6.428,2.0,25.302,610.0,500.0,162.64415,246.39924174453063,24.63992417445306,1.015,,0.1,4.747999999999999,616.795482700266,,28.939,,,,62675.4,4.420604280173127,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
128S0300MD2,55.43,73.9,,,,,6.432777777777777,2.0,25.702222222222222,610.0,500.0,165.33986666666667,267.320060231016,26.7320060231016,1.21875,,0.1,3.9844444444444442,620.0507982464397,,28.449074074074076,,2.584,,42596.22222222222,4.2074689671073795,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
131S3200MD2,51.77,,,,,,6.448333333333333,2.0,24.583333333333332,610.0,500.0,158.51848333333334,154.21465439068783,15.421465439068783,,,0.10000000000000002,6.099999999999999,449.0352679429411,,29.770433333333333,,1.60918,,591929.8333333334,4.814775681543337,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
133S3100MD2,53.99,72.62,,,,,7.309230769230769,2.0,25.233076923076922,610.0,500.0,184.41086923076924,188.17716813980326,18.817716813980326,,,0.1,5.038461538461538,480.4147751635264,,31.32,,,,163538.53846153847,4.538632861441941,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
14R0400MD2,53.039462212589406,72.4979929789942,,,,,6.764666666666667,2.0,25.208777777777776,150.0,40.0,170.52886740740743,151.3563196992532,-151.3563196992532,0.62233828007415,,-1.0,3.812,518.1776933124123,-446.7822879770012,26.19646801008857,25.375233438920382,2.3302222222222224,-1.821117647058824,1239129.8,4.372175264858913,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
153I1000MD3,52.53,71.92,,,,,3.7620833333333326,,25.28,250.0,150.0,95.1059638888889,63.858188692516165,6.385818869251617,0.5201818125,,0.1,2.37125,112.4944818323921,,14.80375,,,,433058.875,4.840458634230606,OptiMat,45/-45/45/-45/45/-45/45/-45/45/-45,EP
154I1000MD3,52.78,72.18,,,,,3.7803703703703713,,25.237777777777776,250.0,150.0,95.40795185185183,68.77524329322637,6.877524329322637,0.5770532314777778,,0.1,2.0343333333333335,,,14.843333333333334,,,,301244.77777777775,4.448317484862342,OptiMat,45/-45/45/-45/45/-45/45/-45/45/-45,EP
156R0460MD2,51.25,71.28,,,,,6.491999999999999,2.0,25.21866666666666,150.0,40.0,163.7132,84.083773073927,-84.083773073927,0.51898592417,,-1.0,1.55,196.1755017637108,-250.7751666704018,18.059,17.503999999999998,2.0856,-1.8904600000000003,132350.5,4.356337597686329,OptiMat,45/-45/0/45/-45/0/45/-45/0/45/-45/0/45/-45,EP
